iterations,fitness,time,fevals
0,19.0,0.000766840000001,679
10,21.0,0.001363055,1262
20,20.0,0.001957528,1838
30,22.0,0.00248023,2411
40,23.0,0.003053527,2997
50,25.0,0.003694306,3566
60,23.0,0.004382345,4144
70,28.0,0.004934007,4735
80,29.0,0.005482608,5316
90,31.0,0.006005447,5875
100,31.0,0.006680827,6447
110,32.0,0.007323955,7026
120,33.0,0.007816389,7607
130,34.0,0.008313197,8191
140,34.0,0.008799607,8751
150,34.0,0.009377261,9334
160,34.0,0.009836402,9916
170,36.0,0.010279085,10492
180,35.0,0.010726508,11059
190,36.0,0.011154522,11627
200,38.0,0.011572607,12185
210,39.0,0.012004833,12774
220,41.0,0.012427259,13348
230,45.0,0.012854309,13942
240,42.0,0.013276569,14488
250,41.0,0.013750478,15061
260,41.0,0.014185217,15621
270,42.0,0.014638906,16188
280,43.0,0.015084784,16754
290,44.0,0.015678886,17330
300,44.0,0.016147362,17906
310,42.0,0.016604817,18468
320,43.0,0.017053802,19046
330,44.0,0.017577319,19611
340,44.0,0.01823795,20185
350,45.0,0.018829153,20751
360,43.0,0.019274474,21334
370,43.0,0.019702156,21905
380,43.0,0.020139816,22485
390,43.0,0.02055663,23063
400,43.0,0.020972743,23653
410,43.0,0.02137773,24226
420,44.0,0.021780445,24802
430,44.0,0.022177156,25380
440,44.0,0.022631224,25953
450,42.0,0.023029008,26535
460,43.0,0.023438786,27104
470,45.0,0.023858472,27688
480,46.0,0.024310309,28256
490,45.0,0.024764807,28813
500,46.0,0.025271262,29384
510,48.0,0.025751309,29949
520,44.0,0.026182201,30534
530,46.0,0.026619555,31106
540,47.0,0.027058599,31674
550,47.0,0.027488885,32239
560,46.0,0.027914443,32815
570,46.0,0.028338331,33395
580,48.0,0.02881561,33963
590,49.0,0.029246926,34524
600,49.0,0.029662714,35104
610,50.0,0.030120628,35687
620,49.0,0.030577775,36261
630,48.0,0.030983644,36840
640,47.0,0.031377843,37434
650,48.0,0.031779039,38007
660,49.0,0.032376607,38600
670,48.0,0.032821016,39175
680,47.0,0.033224122,39747
690,48.0,0.033633614,40328
700,48.0,0.034078588,40883
710,48.0,0.034533271,41473
720,47.0,0.034955796,42046
730,47.0,0.035359161,42619
740,49.0,0.035803765,43195
750,49.0,0.036235794,43761
760,48.0,0.03668414,44343
770,48.0,0.037222948,44909
780,48.0,0.037790986,45495
790,49.0,0.038339806,46066
800,48.0,0.0388448,46631
810,48.0,0.039361898,47210
820,49.0,0.039849961,47786
830,49.0,0.040298104,48372
840,48.0,0.040768517,48944
850,49.0,0.041402039,49520
860,48.0,0.041882885,50105
870,50.0,0.042278333,50675
880,47.0,0.04268085,51235
890,48.0,0.043108452,51800
900,48.0,0.043562721,52380
910,47.0,0.043966495,52953
920,48.0,0.044373267,53533
930,48.0,0.044777853,54120
940,52.0,0.045192522,54686
950,49.0,0.045706244,55269
960,50.0,0.04618068,55837
970,49.0,0.046631676,56426
980,50.0,0.047097477,57004
990,50.0,0.047568671,57591
1000,51.0,0.047996199,58180
1010,53.0,0.04842322,58766
1020,52.0,0.048906413,59335
1030,53.0,0.049386443,59914
1040,52.0,0.049874913,60488
1050,50.0,0.050421088,61070
1060,50.0,0.05087304,61639
1070,53.0,0.051308649,62220
1080,52.0,0.0517239,62796
1090,52.0,0.052144995,63371
1100,50.0,0.052581973,63955
1110,52.0,0.053022792,64518
1120,52.0,0.053492115,65098
1130,52.0,0.053900539,65669
1140,52.0,0.054296527,66238
1150,52.0,0.054805071,66824
1160,52.0,0.05522694,67403
1170,52.0,0.05564506,67987
1180,52.0,0.056057152,68562
1190,53.0,0.056467214,69144
1200,53.0,0.056873273,69714
1210,53.0,0.057273083,70284
1220,53.0,0.057680143,70856
1230,53.0,0.058093067,71446
1240,53.0,0.058506993,72025
1250,53.0,0.058963944,72592
1260,55.0,0.059384841,73176
1270,55.0,0.059783303,73738
1280,56.0,0.060186068,74317
1290,57.0,0.060568286,74887
1300,56.0,0.0609554,75461
1310,57.0,0.061357841,76046
1320,56.0,0.061749785,76623
1330,56.0,0.062138933,77206
1340,57.0,0.062520635,77793
1350,57.0,0.062897009,78364
1360,57.0,0.063289675,78930
1370,57.0,0.063687256,79509
1380,56.0,0.064092616,80093
1390,57.0,0.064495477,80655
1400,56.0,0.064917853,81237
1410,56.0,0.065317951,81821
1420,57.0,0.06572134,82396
1430,57.0,0.066116891,82976
1440,57.0,0.066525972,83545
1450,56.0,0.067008442,84119
1460,55.0,0.067491148,84709
1470,55.0,0.067990165,85287
1480,56.0,0.068441282,85862
1490,54.0,0.068907829,86446
1500,56.0,0.069307817,87025
1510,55.0,0.069706703,87616
1520,56.0,0.070086289,88200
1530,56.0,0.070480016,88770
1540,56.0,0.070886345,89352
1550,57.0,0.071293663,89933
1560,58.0,0.071682881,90503
1570,58.0,0.072086485,91086
1580,59.0,0.072470726,91654
1590,58.0,0.07286976,92246
1600,58.0,0.073268229,92825
1610,59.0,0.073663956,93418
1620,60.0,0.074042363,93985
1630,59.0,0.074439681,94577
1640,59.0,0.074906474,95169
1650,58.0,0.075325175,95742
1660,59.0,0.07574594,96325
1670,60.0,0.076165492,96909
1680,60.0,0.076574216,97483
1690,60.0,0.076989774,98056
1700,60.0,0.077402321,98649
1710,60.0,0.077810032,99227
1720,58.0,0.078219796,99805
1730,58.0,0.078631173,100387
1740,58.0,0.07904026,100959
1750,58.0,0.079472361,101545
1760,59.0,0.079900282,102117
1770,59.0,0.080317434,102693
1780,58.0,0.080753743,103282
1790,58.0,0.081167007,103863
1800,57.0,0.08154722,104422
1810,59.0,0.081969192,104999
1820,58.0,0.082407692,105578
1830,57.0,0.082841585,106159
1840,59.0,0.083301188,106735
1850,58.0,0.08369564,107315
1860,59.0,0.084088874,107920
1870,60.0,0.084481392,108498
1880,61.0,0.084872194,109075
1890,63.0,0.085246565,109658
1900,62.0,0.085637035,110239
1910,62.0,0.086023567,110821
1920,62.0,0.086399634,111394
1930,61.0,0.086779868,111981
1940,61.0,0.087154094,112560
1950,64.0,0.08752553,113133
1960,64.0,0.087916506,113706
1970,64.0,0.088310559,114273
1980,63.0,0.088680538,114838
1990,63.0,0.089068193,115428
2000,63.0,0.089447968,116022
2010,61.0,0.08981943,116592
2020,61.0,0.090198209,117166
2030,61.0,0.090583821,117745
2040,61.0,0.09097146,118329
2050,60.0,0.091345929,118901
2060,64.0,0.091810196,119476
2070,64.0,0.09240058,120069
2080,61.0,0.092820271,120631
2090,62.0,0.093212101,121198
2100,62.0,0.093617339,121789
2110,63.0,0.093985007,122348
2120,62.0,0.094342363,122923
2130,61.0,0.094697453,123487
2140,62.0,0.095071204,124053
2150,61.0,0.095450915,124612
2160,63.0,0.095826606,125182
2170,62.0,0.096205766,125731
2180,61.0,0.096600804,126317
2190,62.0,0.096963704,126887
2200,63.0,0.097362709,127453
2210,63.0,0.097755438,128026
2220,63.0,0.098131402,128615
2230,63.0,0.098556195,129191
2240,68.0,0.098950168,129767
2250,68.0,0.099323467,130345
2260,70.0,0.099742698,130914
2270,72.0,0.100110702,131481
2280,70.0,0.10047553,132048
2290,71.0,0.100838683,132618
2300,71.0,0.101200714,133191
2310,72.0,0.101570146,133771
2320,71.0,0.101938782,134346
2330,71.0,0.102303025,134919
2340,72.0,0.102679336,135490
2350,71.0,0.103046432,136062
2360,72.0,0.103406455,136627
2370,70.0,0.10377952,137215
2380,71.0,0.104161617,137793
2390,71.0,0.104526266,138372
2400,73.0,0.104931466,138951
2410,79.0,0.105292938,139522
2420,78.0,0.105709558,140115
2430,78.0,0.106075332,140689
2440,78.0,0.106439259,141278
2450,79.0,0.10680554,141851
2460,80.0,0.107169682,142428
2470,80.0,0.107574994,143001
2480,78.0,0.107942867,143582
2490,78.0,0.108324493,144159
2500,78.0,0.10870315,144746
2510,79.0,0.109067836,145322
2520,79.0,0.109417937,145894
2530,79.0,0.109764473,146465
2540,79.0,0.110150453,147047
2550,78.0,0.110569374,147625
2560,79.0,0.11092135,148196
2570,78.0,0.111279808,148770
2580,79.0,0.111637264,149350
2590,78.0,0.111999215,149907
2600,79.0,0.112365899,150490
2610,78.0,0.112725899,151066
2620,79.0,0.113094921,151632
2630,78.0,0.113472981,152211
2640,77.0,0.113913999,152782
2650,77.0,0.114283032,153354
2660,76.0,0.11465759,153927
2670,78.0,0.115020123,154503
2680,75.0,0.115470181,155087
2690,75.0,0.115875434,155675
2700,77.0,0.116272939,156250
2710,75.0,0.116665858,156816
2720,76.0,0.117117724,157395
2730,76.0,0.117557327,157965
2740,76.0,0.117961148,158551
2750,77.0,0.118376472,159133
2760,77.0,0.118875813,159695
2770,79.0,0.119235597,160279
2780,78.0,0.119591225,160860
2790,78.0,0.119957414,161439
2800,78.0,0.120297619,162005
2810,78.0,0.120646715,162567
2820,82.0,0.120984082,163125
2830,82.0,0.121325995,163699
2840,81.0,0.121670198,164266
2850,98.0,0.122016228,164850
2860,97.0,0.1223583,165418
2870,98.0,0.122698995,166003
2880,99.0,0.123022637,166598
2890,98.0,0.12337722,167174
2900,95.0,0.123763093,167761
2910,93.0,0.124093765,168326
2920,95.0,0.124435641,168915
2930,98.0,0.124773011,169493
2940,98.0,0.125098385,170078
2950,98.0,0.125429023,170659
2960,98.0,0.125766982,171246
2970,98.0,0.126102939,171813
2980,99.0,0.126429916,172371
2990,99.0,0.126771475,172950
3000,98.0,0.127113572,173517
3010,99.0,0.127476062,174085
3020,98.0,0.127816066,174652
3030,98.0,0.128162945,175219
3040,98.0,0.128499608,175801
3050,98.0,0.128870534,176397
3060,99.0,0.129240068,176966
3070,98.0,0.12957098,177546
3080,98.0,0.129889961,178121
3090,98.0,0.130213328,178694
3100,98.0,0.130579191,179252
3110,98.0,0.130985441,179843
3120,98.0,0.131357201,180421
3130,98.0,0.131727513,181007
3140,98.0,0.132117127,181584
3150,98.0,0.132510693,182166
3160,98.0,0.132864298,182753
3170,98.0,0.133220648,183340
3180,98.0,0.133576435,183933
3190,98.0,0.133943381,184501
3200,98.0,0.134306632,185089
3210,98.0,0.13466927,185666
3220,98.0,0.135033331,186244
3230,96.0,0.13540524,186818
3240,94.0,0.135798903,187395
3250,95.0,0.136165888,187968
3260,95.0,0.138758396,188553
3270,93.0,0.139112735,189130
3280,95.0,0.139437351,189694
3290,95.0,0.139765503,190275
3300,96.0,0.140096411,190848
3310,94.0,0.14042848,191415
3320,95.0,0.140748682,191984
3330,95.0,0.141075331,192558
3340,95.0,0.141493679,193143
3350,95.0,0.14187173,193719
3360,95.0,0.142247432,194294
3370,95.0,0.14264271,194862
3380,95.0,0.143002995,195424
3390,95.0,0.143366702,196000
3400,95.0,0.143729471,196579
3410,94.0,0.144097989,197156
3420,95.0,0.144458205,197736
3430,94.0,0.14482581,198305
3440,95.0,0.1451953,198887
3450,96.0,0.145561858,199460
3460,95.0,0.145925972,200038
3470,95.0,0.146288638,200623
3480,95.0,0.14665667,201189
3490,95.0,0.147034401,201769
3500,96.0,0.14736564,202359
3510,96.0,0.147717599,202919
3520,95.0,0.148083757,203492
3530,96.0,0.148445059,204065
3540,96.0,0.148815634,204648
3550,95.0,0.149182028,205238
3560,96.0,0.149569591,205818
3570,97.0,0.149938263,206390
3580,96.0,0.150294994,206956
3590,96.0,0.150663136,207520
3600,97.0,0.151031446,208096
3610,98.0,0.151402217,208667
3620,98.0,0.151774439,209242
3630,97.0,0.152150911,209806
3640,98.0,0.152500726,210384
3650,97.0,0.152857536,210954
3660,96.0,0.15320554,211533
3670,98.0,0.153705292,212097
3680,98.0,0.154129995,212670
3690,98.0,0.154510393,213258
3700,99.0,0.154970414,213817
3710,99.0,0.155398135,214392
3720,98.0,0.155772221,214973
3730,98.0,0.156116913,215566
3740,96.0,0.156444002,216131
3750,96.0,0.156784668,216695
3760,98.0,0.157120203,217266
3770,97.0,0.157435883,217842
3780,96.0,0.157902864,218412
3790,96.0,0.158279052,218994
3800,97.0,0.158603731,219550
3810,98.0,0.158934481,220137
3820,98.0,0.159264324,220708
3830,97.0,0.159621971,221292
3840,97.0,0.159959297,221870
3850,95.0,0.160317417,222450
3860,95.0,0.160706826,223024
3870,95.0,0.161086869,223591
3880,96.0,0.161435251,224158
3890,99.0,0.161773816,224715
3900,97.0,0.162112792,225282
3910,96.0,0.162449179,225862
3920,96.0,0.162816681,226445
3930,96.0,0.163151243,227022
3940,97.0,0.163503396,227590
3950,98.0,0.163837541,228156
3960,96.0,0.164170317,228734
3970,97.0,0.164496995,229302
3980,97.0,0.164825437,229870
3990,97.0,0.16515891,230447
4000,97.0,0.165497453,231031
4010,97.0,0.165884484,231606
4020,97.0,0.166270554,232180
4030,97.0,0.166631466,232742
4040,97.0,0.166981681,233325
4050,97.0,0.167348347,233889
4060,97.0,0.16768484,234467
4070,97.0,0.168021725,235038
4080,99.0,0.168360319,235610
4090,99.0,0.168699405,236186
4100,99.0,0.169035787,236757
4110,99.0,0.169451731,237341
4120,99.0,0.169780616,237922
4130,99.0,0.170108993,238498
4140,99.0,0.170487695,239089
4150,99.0,0.17085685,239665
4160,99.0,0.171224347,240233
4170,99.0,0.171589309,240819
4180,99.0,0.171920825,241414
4190,96.0,0.172268601,242001
4200,96.0,0.172603668,242601
4210,95.0,0.172934449,243186
4220,96.0,0.173257263,243751
4230,95.0,0.173582824,244334
4240,96.0,0.173930764,244922
4250,95.0,0.174250701,245499
4260,94.0,0.174577935,246089
4270,94.0,0.174902774,246664
4280,95.0,0.175221638,247228
4290,95.0,0.175549465,247818
4300,96.0,0.175865393,248394
4310,94.0,0.176188967,248972
4320,94.0,0.176720161,249538
4330,94.0,0.177067349,250114
4340,94.0,0.177415627,250673
4350,94.0,0.178045523,251243
4360,94.0,0.178485385,251822
4370,94.0,0.178861403,252405
4380,94.0,0.179265673,252987
4390,94.0,0.179749144,253556
4400,94.0,0.180144272,254135
4410,93.0,0.180536018,254710
4420,93.0,0.180932744,255283
4430,93.0,0.181331519,255859
4440,94.0,0.181707515,256437
4450,94.0,0.182087329,257018
4460,86.0,0.18246084,257604
4470,87.0,0.182838502,258179
4480,86.0,0.183206694,258753
4490,86.0,0.18358592,259333
4500,87.0,0.183964616,259907
4510,87.0,0.184337815,260491
4520,82.0,0.184721114,261062
4530,84.0,0.185114493,261626
4540,87.0,0.185501727,262191
4550,83.0,0.185895431,262774
4560,84.0,0.186243912,263346
4570,83.0,0.186629956,263908
4580,86.0,0.186999363,264494
4590,86.0,0.187378781,265077
4600,85.0,0.18774992,265666
4610,83.0,0.188113038,266237
4620,83.0,0.188485579,266815
4630,84.0,0.188864308,267394
4640,85.0,0.189230891,267969
4650,83.0,0.189598706,268548
4660,84.0,0.19009541,269111
4670,83.0,0.190653878,269686
4680,82.0,0.191288887,270257
4690,84.0,0.191692418,270823
4700,85.0,0.192197637,271405
4710,86.0,0.192705048,271984
4720,85.0,0.193053844,272569
4730,88.0,0.193407825,273124
4740,88.0,0.193745387,273686
4750,88.0,0.194233713,274260
4760,88.0,0.194624597,274838
4770,88.0,0.195018505,275422
4780,88.0,0.195392239,275992
4790,88.0,0.19579692,276561
4800,88.0,0.196177877,277134
4810,88.0,0.196566357,277728
4820,85.0,0.196958333,278308
4830,86.0,0.197351285,278898
4840,83.0,0.197750208,279482
4850,83.0,0.198137743,280041
4860,83.0,0.198532114,280622
4870,83.0,0.198923822,281191
4880,85.0,0.199307631,281763
4890,83.0,0.199701178,282339
4900,85.0,0.200114883,282922
4910,85.0,0.200460196,283496
4920,85.0,0.200807759,284071
4930,83.0,0.201167877,284650
4940,83.0,0.201523899,285217
4950,83.0,0.201918148,285786
