iterations,fitness,time,fevals
0,21.0,0.078452658,1000
10,29.0,0.15026447,2100
20,37.0,0.209421432,3200
30,39.0,0.265470553,4300
40,40.0,0.32302865,5400
50,42.0,0.379416303,6500
60,41.0,0.433694935,7600
70,42.0,0.487809764,8700
80,41.0,0.539609308,9800
90,41.0,0.590403119,10900
100,41.0,0.64175901,12000
110,41.0,0.693650514,13100
120,42.0,0.745892924,14200
130,42.0,0.795214639,15300
140,42.0,0.847119591,16400
150,42.0,0.898890748,17500
160,43.0,0.952524105,18600
170,46.0,1.004323267,19700
180,50.0,1.055203983,20800
190,61.0,1.107112478,21900
200,56.0,1.159399878,23000
210,50.0,1.211216051,24100
220,47.0,1.260614565,25200
230,50.0,1.311411744,26300
240,50.0,1.36184507,27400
250,51.0,1.412290934,28500
260,52.0,1.464148582,29600
270,52.0,1.515771921,30700
280,53.0,1.566893172,31800
290,51.0,1.617164069,32900
300,52.0,1.667583435,34000
310,52.0,1.718037563,35100
320,53.0,1.770872524,36200
330,53.0,1.822522672,37300
340,52.0,1.87204926,38400
350,52.0,1.921950215,39500
360,50.0,1.971494865,40600
370,51.0,2.021487036,41700
380,57.0,2.070407951,42800
390,62.0,2.11995426,43900
400,52.0,2.167679543,45000
410,51.0,2.215200322,46100
420,54.0,2.265181017,47200
430,52.0,2.313001585,48300
440,52.0,2.360263617,49400
450,52.0,2.409024963,50500
460,52.0,2.458868229,51600
470,53.0,2.506147259,52700
480,52.0,2.55409002,53800
490,53.0,2.601157232,54900
500,53.0,2.649267096,56000
510,52.0,2.697547084,57100
520,53.0,2.747046293,58200
530,53.0,2.796593859,59300
540,51.0,2.846255403,60400
550,53.0,2.896165009,61500
560,52.0,2.944125637,62600
570,53.0,2.995664249,63700
580,51.0,3.043778503,64800
590,53.0,3.090121464,65900
600,53.0,3.137425671,67000
610,52.0,3.184232062,68100
620,52.0,3.229985379,69200
630,52.0,3.276457731,70300
640,52.0,3.323940025,71400
650,52.0,3.371801528,72500
660,52.0,3.418939281,73600
670,56.0,3.466450672,74700
680,52.0,3.513969248,75800
690,52.0,3.561438456,76900
700,52.0,3.609485654,78000
710,52.0,3.660602006,79100
720,53.0,3.70757935,80200
730,54.0,3.754582645,81300
740,52.0,3.80224252,82400
750,53.0,3.852408388,83500
760,51.0,3.901545448,84600
770,55.0,3.952609745,85700
780,53.0,4.002341027,86800
790,54.0,4.05316726,87900
800,53.0,4.10473013,89000
810,55.0,4.158515956,90100
820,58.0,4.211200303,91200
830,55.0,4.264961828,92300
840,63.0,4.317119087,93400
850,58.0,4.367335845,94500
860,58.0,4.416109296,95600
870,58.0,4.464725186,96700
880,57.0,4.51229517,97800
890,56.0,4.560767902,98900
900,58.0,4.609989849,100000
910,57.0,4.65886043,101100
920,59.0,4.706690397,102200
930,56.0,4.755638479,103300
940,58.0,4.803078988,104400
950,65.0,4.851114403,105500
960,57.0,4.898596417,106600
970,56.0,4.947246444,107700
980,57.0,4.997890987,108800
990,57.0,5.044645595,109900
1000,57.0,5.092355147,111000
1010,56.0,5.137648591,112100
1020,58.0,5.184448326,113200
1030,56.0,5.231032385,114300
1040,59.0,5.27733667,115400
1050,56.0,5.324744416,116500
1060,62.0,5.371873885,117600
1070,57.0,5.418888182,118700
