iterations,fitness,time,fevals
0,18.0,1.8985e-05,11
10,18.0,3.3035e-05,21
20,18.0,4.6633e-05,31
30,19.0,5.8725e-05,41
40,19.0,7.0816e-05,51
50,19.0,8.2244e-05,61
60,19.0,0.000104402,71
70,20.0,0.000137486,81
80,21.0,0.000157626,91
90,23.0,0.000178618,101
100,24.0,0.000199492,111
110,24.0,0.00021897,121
120,24.0,0.000238578,131
130,24.0,0.000262029,141
140,24.0,0.00028486,151
150,24.0,0.000302903,161
160,24.0,0.00032029,171
170,24.0,0.000337926,181
180,24.0,0.000356103,191
190,25.0,0.00037463,201
200,25.0,0.000399456,211
210,25.0,0.00041588,221
220,25.0,0.000432842,231
230,25.0,0.000450559,241
240,27.0,0.00046205,251
250,27.0,0.000472984,261
260,28.0,0.000484491,271
270,28.0,0.000495817,281
280,28.0,0.000507131,291
290,28.0,0.000518284,301
300,28.0,0.000531347,311
310,28.0,0.000542706,321
320,28.0,0.000553911,331
330,28.0,0.000565395,341
340,28.0,0.000576324,351
350,28.0,0.00058716,361
360,40.0,0.000598542,371
370,40.0,0.000613046,381
380,40.0,0.000637319,391
390,40.0,0.000673853,401
400,40.0,0.000686381,411
410,40.0,0.00069707,421
420,40.0,0.000708074,431
430,40.0,0.000719546,441
440,40.0,0.000751854,451
450,40.0,0.00076266,461
460,40.0,0.000772949,471
470,40.0,0.000783208,481
480,40.0,0.000793691,491
490,40.0,0.000804244,501
500,40.0,0.000826005,511
510,40.0,0.000850746,521
520,41.0,0.00086859,531
530,41.0,0.000881686,541
540,41.0,0.000897405,551
550,41.0,0.000909661,561
560,45.0,0.000924252,571
570,45.0,0.000940473,581
580,45.0,0.000952482,591
590,45.0,0.000965465,601
600,45.0,0.000988207,611
610,45.0,0.001003321,621
620,45.0,0.001016513,631
630,47.0,0.001028369,641
640,47.0,0.001047683,651
650,47.0,0.001058773,661
660,47.0,0.001069709,671
670,47.0,0.001080344,681
680,48.0,0.001091018,691
690,48.0,0.001101502,701
700,48.0,0.001116538,711
710,48.0,0.001128622,721
720,48.0,0.001142361,731
730,48.0,0.001153377,741
740,48.0,0.001164003,751
750,48.0,0.001175876,761
760,48.0,0.001188068,771
770,48.0,0.001199178,781
780,48.0,0.001210208,791
790,48.0,0.001221131,801
800,48.0,0.001231482,811
810,48.0,0.001241646,821
820,48.0,0.001252731,831
830,48.0,0.001263251,841
840,48.0,0.001273826,851
850,48.0,0.001284047,861
860,48.0,0.001294456,871
870,48.0,0.001304958,881
880,48.0,0.001318874,891
890,48.0,0.001331009,901
900,48.0,0.001341949,911
910,48.0,0.001360027,921
920,48.0,0.00137321,931
930,49.0,0.001385101,941
940,49.0,0.001396531,951
950,49.0,0.001407782,961
960,49.0,0.001418564,971
970,50.0,0.001429784,981
980,50.0,0.001440232,991
990,50.0,0.001451517,1001
1000,50.0,0.001465583,1011
1010,50.0,0.001476968,1021
1020,50.0,0.00148791,1031
1030,50.0,0.001498737,1041
1040,50.0,0.001509033,1051
1050,50.0,0.001520292,1061
1060,50.0,0.001531478,1071
1070,50.0,0.001543496,1081
1080,50.0,0.001557515,1091
1090,50.0,0.001572984,1101
1100,51.0,0.00158521,1111
1110,63.0,0.001596514,1121
1120,63.0,0.001607094,1131
1130,63.0,0.001618043,1141
1140,63.0,0.001628848,1151
1150,63.0,0.00163977,1161
1160,63.0,0.001651602,1171
1170,63.0,0.001666989,1181
1180,63.0,0.001688058,1191
1190,63.0,0.001704143,1201
1200,65.0,0.001718636,1211
1210,65.0,0.001730153,1221
1220,67.0,0.001745092,1231
1230,67.0,0.00175625,1241
1240,67.0,0.001767273,1251
1250,67.0,0.001778534,1261
1260,67.0,0.001789765,1271
1270,67.0,0.001800447,1281
1280,67.0,0.001810984,1291
1290,67.0,0.001821547,1301
1300,69.0,0.001832587,1311
1310,69.0,0.001843093,1321
1320,69.0,0.001857239,1331
1330,69.0,0.001868794,1341
1340,69.0,0.001884594,1351
1350,69.0,0.00189757,1361
1360,70.0,0.001908959,1371
1370,71.0,0.001920536,1381
1380,71.0,0.001931604,1391
1390,71.0,0.001942974,1401
1400,71.0,0.001956133,1411
1410,71.0,0.001967259,1421
1420,71.0,0.001985171,1431
1430,73.0,0.002001333,1441
1440,73.0,0.002017483,1451
1450,73.0,0.002034332,1461
1460,73.0,0.002050813,1471
1470,73.0,0.002065496,1481
1480,74.0,0.002081267,1491
1490,74.0,0.002096402,1501
1500,74.0,0.002112368,1511
1510,74.0,0.002128729,1521
1520,74.0,0.002144641,1531
1530,74.0,0.002162078,1541
1540,74.0,0.002177797,1551
1550,74.0,0.002193423,1561
1560,75.0,0.002208342,1571
1570,75.0,0.002222435,1581
1580,75.0,0.002237429,1591
1590,76.0,0.002253089,1601
1600,76.0,0.002269278,1611
1610,76.0,0.00228969,1621
1620,76.0,0.002303487,1631
1630,76.0,0.002314062,1641
1640,78.0,0.002329394,1651
1650,80.0,0.002345429,1661
1660,80.0,0.002360584,1671
1670,81.0,0.002376569,1681
1680,81.0,0.002390759,1691
1690,81.0,0.002401656,1701
1700,81.0,0.002412507,1711
1710,81.0,0.002424314,1721
1720,81.0,0.002434899,1731
1730,81.0,0.002445775,1741
1740,81.0,0.00245671,1751
1750,81.0,0.002467221,1761
1760,81.0,0.002477518,1771
1770,81.0,0.002487853,1781
1780,81.0,0.002504785,1791
1790,81.0,0.002520983,1801
1800,81.0,0.002536747,1811
1810,81.0,0.00254974,1821
1820,81.0,0.002560749,1831
1830,83.0,0.002571466,1841
1840,83.0,0.002584566,1851
1850,83.0,0.002595574,1861
1860,85.0,0.002606671,1871
1870,85.0,0.0026178,1881
1880,85.0,0.002629881,1891
1890,85.0,0.002640044,1901
1900,85.0,0.002650506,1911
1910,85.0,0.00266069,1921
1920,86.0,0.00267097,1931
1930,86.0,0.002683547,1941
1940,86.0,0.002695567,1951
1950,86.0,0.002711278,1961
1960,86.0,0.002723494,1971
1970,86.0,0.002734206,1981
1980,86.0,0.002747818,1991
1990,86.0,0.002758635,2001
2000,86.0,0.002771397,2011
2010,87.0,0.002783322,2021
2020,87.0,0.002798354,2031
2030,87.0,0.002809166,2041
2040,87.0,0.002852711,2051
2050,87.0,0.002863997,2061
2060,91.0,0.002878377,2071
2070,91.0,0.002888903,2081
2080,91.0,0.002898717,2091
2090,91.0,0.002909589,2101
2100,95.0,0.00292019,2111
2110,95.0,0.002930018,2121
2120,95.0,0.002940219,2131
