iterations,fitness,time,fevals
0,15.0,8.65800000005e-06,11
10,13.0,1.56470000001e-05,21
20,12.0,2.47180000001e-05,31
30,15.0,3.2059e-05,41
40,15.0,3.82290000003e-05,51
50,14.0,4.48280000005e-05,61
60,14.0,5.05250000007e-05,71
70,17.0,5.71330000003e-05,81
80,17.0,6.96450000004e-05,91
90,17.0,7.64110000002e-05,101
100,17.0,8.4325e-05,111
110,17.0,9.07450000001e-05,121
120,17.0,9.60549999998e-05,131
130,17.0,0.000101358,141
140,17.0,0.000106631,151
150,17.0,0.000111513,161
160,21.0,0.000158887,171
170,21.0,0.0001645,181
180,21.0,0.000175018,191
190,21.0,0.00018108,201
200,21.0,0.000188526,211
210,21.0,0.000194421,221
220,21.0,0.000205289,231
230,21.0,0.000211803,241
240,21.0,0.000218725,251
250,21.0,0.000231494,261
260,21.0,0.000244027,271
270,21.0,0.000250274,281
280,21.0,0.000257618,291
290,22.0,0.000264671,301
300,22.0,0.000270033,311
310,22.0,0.000275376,321
320,22.0,0.000281241,331
330,22.0,0.000286811,341
340,22.0,0.000296828999999,351
350,22.0,0.000303616,361
360,22.0,0.000311694,371
370,22.0,0.000318499,381
380,23.0,0.000325414,391
390,23.0,0.000330868,401
400,23.0,0.000337404,411
410,23.0,0.00035037,421
420,23.0,0.000358155,431
430,23.0,0.000364453,441
440,23.0,0.000376598,451
450,23.0,0.00039562,461
460,23.0,0.000401769000001,471
470,23.0,0.000407595,481
480,24.0,0.000414436,491
490,25.0,0.000421108,501
500,26.0,0.00043527,511
510,26.0,0.000444567,521
520,26.0,0.000454082,531
530,26.0,0.000460807,541
540,26.0,0.000468634,551
550,26.0,0.00047509,561
560,26.0,0.000481398,571
570,27.0,0.000487148,581
580,28.0,0.000496872,591
590,28.0,0.000503569,601
600,28.0,0.000509732,611
610,28.0,0.000528655,621
620,28.0,0.000535186,631
630,28.0,0.000541059,641
640,28.0,0.000546124,651
650,28.0,0.000551625,661
660,28.0,0.00055698,671
670,28.0,0.000562749,681
680,28.0,0.000568121,691
690,29.0,0.000574152,701
700,29.0,0.000579028999999,711
710,29.0,0.000584327999999,721
720,29.0,0.000595638999999,731
730,29.0,0.000602198999999,741
740,29.0,0.000608251,751
750,29.0,0.000613998,761
760,29.0,0.000623199999999,771
770,32.0,0.000628792999999,781
780,32.0,0.000635607999999,791
790,32.0,0.000640848999999,801
800,32.0,0.000646690999999,811
810,32.0,0.000652268999999,821
820,32.0,0.000657085999999,831
830,32.0,0.000662934999999,841
840,32.0,0.000668210999999,851
850,34.0,0.000673481999999,861
860,34.0,0.000679503,871
870,34.0,0.000689202,881
880,34.0,0.000694403,891
890,34.0,0.000701806,901
900,35.0,0.000707131,911
910,35.0,0.000725765,921
920,36.0,0.00073207,931
930,36.0,0.000750827,941
940,36.0,0.000755946,951
950,36.0,0.00076076,961
960,36.0,0.000766601,971
970,37.0,0.000772002,981
980,38.0,0.000777657,991
990,38.0,0.000782746,1001
1000,38.0,0.000788159,1011
1010,38.0,0.000793485,1021
1020,38.0,0.000803444,1031
1030,39.0,0.000809188,1041
1040,40.0,0.00081555,1051
1050,40.0,0.000820834000001,1061
1060,40.0,0.000829194,1071
1070,40.0,0.00083455,1081
1080,40.0,0.000839583,1091
1090,40.0,0.00084472,1101
1100,40.0,0.000854763,1111
1110,40.0,0.000861074,1121
1120,40.0,0.000867941000001,1131
1130,40.0,0.000873585,1141
1140,40.0,0.000878999000001,1151
1150,40.0,0.000884568,1161
1160,40.0,0.000898808000001,1171
1170,40.0,0.000904226000001,1181
1180,40.0,0.000909948000001,1191
1190,40.0,0.000914939000001,1201
1200,40.0,0.000923969000001,1211
1210,40.0,0.000929329000001,1221
1220,40.0,0.000936852000001,1231
