iterations,fitness,time,fevals
0,544.0,0.002632756,442
10,550.0,0.009230619,774
20,550.0,0.010777326,1106
30,544.0,0.012504187,1453
40,552.0,0.013976476,1802
50,552.0,0.015322788,2136
60,554.0,0.016762927,2462
70,552.0,0.018343253,2801
80,548.0,0.021633149,3141
90,556.0,0.023657752,3469
100,544.0,0.027392316,3798
110,537.0,0.02867468,4113
120,539.0,0.030026611,4445
130,539.0,0.031597821,4780
140,539.0,0.033021597,5113
150,539.0,0.036065615,5452
160,541.0,0.0379702,5778
170,539.0,0.039919209,6112
180,537.0,0.043558844,6451
190,541.0,0.045464797,6780
200,539.0,0.046875654,7116
210,537.0,0.049837948,7460
220,543.0,0.051180575,7788
230,543.0,0.052524222,8121
240,543.0,0.053942058,8461
250,541.0,0.055253904,8794
260,539.0,0.056534311,9128
270,539.0,0.058183809,9457
280,539.0,0.060019449,9792
290,537.0,0.063805634,10124
300,539.0,0.065113118,10455
310,539.0,0.066427888,10796
320,541.0,0.067704085,11119
330,539.0,0.068979911,11459
340,543.0,0.070262411,11795
350,541.0,0.071569882,12142
360,545.0,0.072881305,12490
370,547.0,0.074418995,12822
380,545.0,0.075698536,13160
390,543.0,0.07868715,13500
400,543.0,0.080033523,13838
410,537.0,0.081735806,14186
420,545.0,0.084808471,14508
430,547.0,0.086244642,14843
440,551.0,0.087599919,15194
450,545.0,0.090607486,15524
460,541.0,0.091906146,15862
470,549.0,0.093199345,16197
480,553.0,0.094849213,16522
490,555.0,0.096853937,16859
500,551.0,0.101071968,17195
510,555.0,0.102621279,17531
520,557.0,0.10397956,17865
530,545.0,0.106718406,18191
540,549.0,0.108079225,18536
550,549.0,0.109580727,18889
560,549.0,0.111702943,19230
570,553.0,0.115974887,19565
580,551.0,0.117626066,19897
590,549.0,0.120624742,20222
600,551.0,0.124732759,20560
610,551.0,0.126122852,20894
620,547.0,0.127465801,21223
630,551.0,0.128767655,21568
640,551.0,0.130072558,21894
650,553.0,0.131390899,22237
660,549.0,0.132864346,22572
670,551.0,0.13469814,22911
680,553.0,0.138116651,23242
690,555.0,0.139672056,23573
700,559.0,0.140987633,23902
710,559.0,0.14233474,24244
720,559.0,0.143894061,24571
730,557.0,0.145201641,24903
740,561.0,0.147529648,25238
750,565.0,0.148916256,25570
760,567.0,0.150223505,25906
770,569.0,0.151529074,26233
780,571.0,0.152986296,26566
790,571.0,0.155186925,26892
800,565.0,0.158993993,27215
810,567.0,0.160443111,27548
820,565.0,0.161741147,27875
830,565.0,0.164497368,28215
840,567.0,0.165809379,28549
850,569.0,0.167122026,28880
860,573.0,0.168461909,29214
870,569.0,0.169766201,29552
880,567.0,0.171053913,29886
890,571.0,0.172504672,30213
900,569.0,0.174324187,30547
910,569.0,0.17655817,30889
920,571.0,0.178925587,31224
930,579.0,0.180241387,31552
940,577.0,0.181562382,31883
950,575.0,0.183102359,32211
960,575.0,0.184530994,32550
970,573.0,0.187418553,32876
980,571.0,0.188898687,33211
990,571.0,0.190733246,33543
1000,569.0,0.193679123,33874
1010,571.0,0.195288697,34197
1020,577.0,0.197136522,34529
1030,577.0,0.198423245,34854
1040,569.0,0.201298492,35190
1050,567.0,0.202581786,35527
1060,569.0,0.204050466,35860
1070,569.0,0.205686648,36192
1080,571.0,0.207985429,36523
1090,573.0,0.210669616,36861
1100,573.0,0.212081482,37199
1110,573.0,0.215222332,37536
1120,575.0,0.216568662,37873
1130,575.0,0.217849881,38203
1140,573.0,0.219166359,38555
1150,573.0,0.2204507,38895
1160,571.0,0.221756918,39232
1170,569.0,0.223216734,39572
1180,569.0,0.227950719,39909
1190,569.0,0.230187993,40241
1200,569.0,0.23154514,40575
