iterations,fitness,time,fevals
0,557.0,9.432052103,1000
10,593.0,18.355835866,2100
20,645.0,26.654223789,3200
30,689.0,34.084652409,4300
40,709.0,41.32244442,5400
50,723.0,48.215503896,6500
60,731.0,54.907774215,7600
70,735.0,61.523797762,8700
80,737.0,68.067547916,9800
90,737.0,74.377039998,10900
100,737.0,80.709828427,12000
110,737.0,87.023909304,13100
120,735.0,93.014971338,14200
130,737.0,99.393202577,15300
140,739.0,105.640821396,16400
150,739.0,111.886720011,17500
160,737.0,117.938884615,18600
170,739.0,124.243545201,19700
180,737.0,130.419073204,20800
190,737.0,136.638060913,21900
200,737.0,142.808058033,23000
210,739.0,148.983999728,24100
220,737.0,155.027961368,25200
230,737.0,161.291184258,26300
240,737.0,167.610257533,27400
250,737.0,173.857612278,28500
260,737.0,180.198561988,29600
270,737.0,186.394132655,30700
280,739.0,192.651901466,31800
290,739.0,198.92849197,32900
300,739.0,205.18908907,34000
310,745.0,211.325926313,35100
320,737.0,217.399097279,36200
330,741.0,223.785638648,37300
340,737.0,230.070040797,38400
350,741.0,236.292404403,39500
360,737.0,242.623508512,40600
370,737.0,248.960168493,41700
380,739.0,255.172872014,42800
390,737.0,261.417418003,43900
400,739.0,267.716685848,45000
410,739.0,273.81509227,46100
420,739.0,280.090784299,47200
430,737.0,286.352620001,48300
440,739.0,292.643689206,49400
450,741.0,298.930458617,50500
460,739.0,305.219506891,51600
470,737.0,311.554710803,52700
480,739.0,317.719852121,53800
490,739.0,324.052516477,54900
500,739.0,330.264846147,56000
510,737.0,336.323536771,57100
520,739.0,342.647479686,58200
530,743.0,348.868546379,59300
540,743.0,355.213724561,60400
550,743.0,361.628203676,61500
560,741.0,367.925569296,62600
570,741.0,374.205754766,63700
580,741.0,380.47796541,64800
590,741.0,386.842469392,65900
600,741.0,393.020900848,67000
610,741.0,399.299620694,68100
620,741.0,405.651571371,69200
630,741.0,411.874629135,70300
640,741.0,418.173735748,71400
650,741.0,424.452357385,72500
660,743.0,430.642351798,73600
670,743.0,436.883975601,74700
680,739.0,443.074506988,75800
690,741.0,449.355332468,76900
700,743.0,455.500759964,78000
710,741.0,461.733527778,79100
720,741.0,468.023966863,80200
730,739.0,474.176884478,81300
