iterations,fitness,time,fevals
0,509.0,0.000267923,11
10,509.0,0.00044685,21
20,513.0,0.000912961,31
30,519.0,0.001532029,41
40,521.0,0.001809894,51
50,527.0,0.002005513,61
60,529.0,0.002310981,71
70,535.0,0.002782785,81
80,535.0,0.002958472,91
90,535.0,0.003430161,101
100,539.0,0.003776816,111
110,541.0,0.003941044,121
120,547.0,0.004160288,131
130,549.0,0.004316581,141
140,549.0,0.004719186,151
150,553.0,0.005150057,161
160,559.0,0.005334299,171
170,563.0,0.005487908,181
180,565.0,0.005610106,191
190,565.0,0.005852936,201
200,565.0,0.005984246,211
210,565.0,0.006558067,221
220,569.0,0.006978772,231
230,571.0,0.007513494,241
240,575.0,0.007790019,251
250,583.0,0.008018511,261
260,589.0,0.008323693,271
270,591.0,0.008587737,281
280,591.0,0.009022799,291
290,591.0,0.009281502,301
300,595.0,0.009417081,311
310,599.0,0.009560917,321
320,601.0,0.00982549,331
330,601.0,0.010128485,341
340,601.0,0.010529734,351
350,601.0,0.01072052,361
360,605.0,0.011138301,371
370,607.0,0.011753909,381
380,607.0,0.012043793,391
390,607.0,0.012229012,401
400,607.0,0.012499933,411
410,607.0,0.012707597,421
420,609.0,0.013272009,431
430,613.0,0.013749835,441
440,613.0,0.014342131,451
450,613.0,0.014541132,461
460,615.0,0.014779411,471
470,621.0,0.015035069,481
480,621.0,0.015662554,491
490,621.0,0.016217246,501
500,621.0,0.016373057,511
510,621.0,0.016513797,521
520,625.0,0.016638901,531
530,629.0,0.016919423,541
540,631.0,0.017067626,551
550,635.0,0.017673857,561
560,638.0,0.018211809,571
570,640.0,0.018678663,581
580,642.0,0.018887186,591
590,644.0,0.019238792,601
600,646.0,0.01940321,611
610,646.0,0.019698364,621
620,652.0,0.020199337,631
630,654.0,0.020548464,641
640,654.0,0.020688758,651
650,654.0,0.020952847,661
660,656.0,0.021177961,671
670,658.0,0.021812272,681
680,658.0,0.022444935,691
690,658.0,0.022602795,701
700,658.0,0.02310289,711
710,658.0,0.023901634,721
720,660.0,0.0244063,731
730,660.0,0.024656216,741
740,660.0,0.024910517,751
750,660.0,0.025103762,761
760,662.0,0.025587127,771
770,664.0,0.026142398,781
780,664.0,0.026741907,791
790,666.0,0.027219808,801
800,668.0,0.02735042,811
810,668.0,0.027653746,821
820,670.0,0.027817161,831
830,672.0,0.028367632,841
840,672.0,0.029271754,851
850,676.0,0.02967713,861
860,678.0,0.029883384,871
870,680.0,0.030171859,881
880,680.0,0.03061156,891
890,680.0,0.030788625,901
900,680.0,0.031460707,911
910,680.0,0.031868456,921
920,680.0,0.032005464,931
930,680.0,0.032263201,941
940,680.0,0.032639796,951
950,680.0,0.032995581,961
960,680.0,0.033430491,971
970,682.0,0.033728954,981
980,682.0,0.033857572,991
990,682.0,0.034104165,1001
1000,682.0,0.034405886,1011
1010,682.0,0.03473039,1021
1020,684.0,0.035163915,1031
1030,686.0,0.03574897,1041
1040,688.0,0.036209529,1051
1050,688.0,0.03644645,1061
1060,690.0,0.036575358,1071
1070,694.0,0.036706907,1081
1080,696.0,0.036934524,1091
1090,696.0,0.037125909,1101
1100,696.0,0.037651049,1111
1110,696.0,0.038042598,1121
1120,696.0,0.038177672,1131
1130,696.0,0.038363372,1141
1140,696.0,0.038701708,1151
1150,696.0,0.039198551,1161
1160,698.0,0.039346735,1171
1170,702.0,0.039818071,1181
1180,702.0,0.040354638,1191
1190,704.0,0.040813413,1201
1200,704.0,0.041046215,1211
1210,704.0,0.041255287,1221
1220,706.0,0.041412577,1231
1230,708.0,0.041851232,1241
1240,710.0,0.041976983,1251
1250,710.0,0.042226897,1261
1260,710.0,0.042502058,1271
1270,710.0,0.042819056,1281
1280,710.0,0.043335791,1291
1290,710.0,0.04362389,1301
1300,712.0,0.044006569,1311
1310,712.0,0.044381403,1321
1320,712.0,0.044775121,1331
1330,712.0,0.044901529,1341
1340,712.0,0.045116996,1351
1350,712.0,0.045345157,1361
1360,712.0,0.045877622,1371
1370,712.0,0.046054702,1381
1380,716.0,0.046438122,1391
1390,716.0,0.046998459,1401
1400,716.0,0.047449715,1411
1410,716.0,0.047734098,1421
1420,716.0,0.047875321,1431
1430,716.0,0.048113519,1441
1440,716.0,0.048389819,1451
1450,718.0,0.048803027,1461
1460,718.0,0.048942581,1471
1470,720.0,0.049427857,1481
1480,722.0,0.050118892,1491
1490,722.0,0.050493131,1501
1500,722.0,0.050642564,1511
1510,722.0,0.050980594,1521
1520,722.0,0.05134366,1531
1530,724.0,0.051736481,1541
1540,726.0,0.05224481,1551
1550,726.0,0.052609549,1561
1560,728.0,0.053068248,1571
1570,728.0,0.053250336,1581
1580,728.0,0.053432569,1591
1590,728.0,0.053764133,1601
1600,730.0,0.054331131,1611
1610,730.0,0.05448051,1621
1620,730.0,0.055089459,1631
1630,732.0,0.078917677,1641
1640,732.0,0.079103854,1651
1650,732.0,0.079383302,1661
1660,734.0,0.079503774,1671
1670,734.0,0.079608851,1681
1680,734.0,0.079670471,1691
1690,736.0,0.079821668,1701
1700,738.0,0.079884623,1711
1710,738.0,0.080142019,1721
1720,740.0,0.080201585,1731
1730,740.0,0.080373942,1741
1740,742.0,0.080741439,1751
1750,742.0,0.080997684,1761
1760,742.0,0.081055494,1771
1770,742.0,0.081096371,1781
1780,744.0,0.08125163,1791
1790,746.0,0.081445019,1801
1800,746.0,0.081773666,1811
1810,746.0,0.081843293,1821
1820,746.0,0.082074648,1831
1830,746.0,0.082383661,1841
1840,746.0,0.082610121,1851
1850,746.0,0.082672228,1861
1860,746.0,0.082729008,1871
1870,746.0,0.082923902,1881
1880,746.0,0.083212854,1891
1890,746.0,0.083296797,1901
1900,748.0,0.08356855,1911
1910,748.0,0.083794122,1921
1920,748.0,0.083848617,1931
1930,748.0,0.083891611,1941
1940,748.0,0.084050969,1951
1950,748.0,0.084403637,1961
1960,748.0,0.084722921,1971
1970,748.0,0.084860128,1981
1980,748.0,0.085083971,1991
1990,748.0,0.085353314,2001
2000,748.0,0.085580728,2011
2010,748.0,0.085642114,2021
2020,748.0,0.085810766,2031
2030,748.0,0.085897247,2041
2040,752.0,0.086172654,2051
2050,752.0,0.086562971,2061
2060,754.0,0.086633806,2071
2070,754.0,0.086716048,2081
2080,754.0,0.086849841,2091
2090,756.0,0.086933238,2101
2100,756.0,0.087167723,2111
2110,756.0,0.087255436,2121
2120,756.0,0.08732316,2131
2130,756.0,0.087372222,2141
2140,756.0,0.087524014,2151
2150,756.0,0.087611183,2161
2160,756.0,0.087833459,2171
2170,756.0,0.088130825,2181
2180,758.0,0.088316417,2191
2190,758.0,0.088444061,2201
2200,758.0,0.088483517,2211
2210,758.0,0.088528437,2221
2220,758.0,0.088671792,2231
2230,758.0,0.088801271,2241
2240,758.0,0.088873065,2251
2250,758.0,0.08912803,2261
2260,758.0,0.089427714,2271
2270,758.0,0.089480628,2281
2280,758.0,0.089524263,2291
2290,758.0,0.089572991,2301
2300,758.0,0.089654962,2311
2310,758.0,0.089728225,2321
2320,758.0,0.089776442,2331
2330,758.0,0.089871719,2341
2340,758.0,0.090034529,2351
2350,760.0,0.090084212,2361
2360,760.0,0.090136177,2371
2370,760.0,0.090202349,2381
2380,760.0,0.090242728,2391
2390,760.0,0.090279599,2401
2400,760.0,0.090332459,2411
2410,760.0,0.090380435,2421
2420,760.0,0.09042255,2431
2430,760.0,0.090459826,2441
2440,760.0,0.090497076,2451
2450,760.0,0.090536053,2461
2460,760.0,0.090588642,2471
2470,760.0,0.090667231,2481
2480,760.0,0.090735837,2491
2490,760.0,0.090925174,2501
2500,762.0,0.091119674,2511
2510,762.0,0.091169937,2521
2520,764.0,0.091208108,2531
2530,764.0,0.091249552,2541
2540,764.0,0.091283476,2551
2550,764.0,0.091318129,2561
2560,764.0,0.091353588,2571
2570,764.0,0.091387095,2581
2580,764.0,0.091433781,2591
2590,764.0,0.091467028,2601
2600,764.0,0.091498004,2611
2610,764.0,0.091531892,2621
2620,764.0,0.091563424,2631
2630,766.0,0.091598845,2641
2640,768.0,0.091631397,2651
2650,768.0,0.091663942,2661
2660,768.0,0.091695778,2671
2670,768.0,0.091729207,2681
2680,768.0,0.091771156,2691
2690,768.0,0.091801777,2701
2700,768.0,0.091832312,2711
2710,770.0,0.091862348,2721
2720,770.0,0.091892194,2731
2730,772.0,0.091923578,2741
2740,772.0,0.091957213,2751
2750,774.0,0.091987193,2761
2760,774.0,0.092017081,2771
2770,774.0,0.0920472,2781
2780,774.0,0.09207702,2791
2790,774.0,0.092115666,2801
2800,776.0,0.092145727,2811
2810,776.0,0.092185702,2821
2820,776.0,0.092216235,2831
2830,776.0,0.092246151,2841
2840,776.0,0.092286087,2851
2850,776.0,0.092319423,2861
2860,776.0,0.0924107,2871
2870,776.0,0.092485088,2881
2880,776.0,0.09251447,2891
2890,776.0,0.092554493,2901
2900,776.0,0.092585273,2911
2910,776.0,0.092649988,2921
2920,778.0,0.09274865,2931
2930,778.0,0.092826532,2941
2940,778.0,0.09287751,2951
2950,780.0,0.092946156,2961
2960,780.0,0.093047656,2971
2970,780.0,0.093274292,2981
2980,780.0,0.093333814,2991
2990,780.0,0.093372328,3001
3000,780.0,0.093421935,3011
