iterations,fitness,time,fevals
0,480.0,9.1635e-05,11
10,486.0,0.00017735,21
20,492.0,0.000266045,31
30,494.0,0.000354148,41
40,500.0,0.000432923,51
50,504.0,0.000556245,61
60,504.0,0.00071827,71
70,506.0,0.000841666,81
80,508.0,0.000965012,91
90,512.0,0.001036297,101
100,516.0,0.001124765,111
110,520.0,0.001209853,121
120,522.0,0.001299197,131
130,524.0,0.001476895,141
140,530.0,0.001691392,151
150,534.0,0.001855572,161
160,536.0,0.001970442,171
170,538.0,0.002085763,181
180,542.0,0.002396343,191
190,542.0,0.002668355,201
200,544.0,0.002776501,211
210,546.0,0.00287058,221
220,548.0,0.002965727,231
230,554.0,0.003060941,241
240,556.0,0.003153914,251
250,556.0,0.0032475,261
260,556.0,0.003373968,271
270,556.0,0.003469302,281
280,556.0,0.00363268,291
290,556.0,0.003779841,301
300,558.0,0.003935455,311
310,558.0,0.004047751,321
320,560.0,0.004144878,331
330,560.0,0.004240559,341
340,560.0,0.004359553,351
350,560.0,0.004558081,361
360,564.0,0.004809582,371
370,566.0,0.004924303,381
380,566.0,0.005001912,391
390,568.0,0.005076117,401
400,570.0,0.005191182,411
410,574.0,0.005294323,421
420,578.0,0.005414081,431
430,578.0,0.005515384,441
440,578.0,0.005655075,451
450,578.0,0.005733557,461
460,580.0,0.005919914,471
470,580.0,0.006214646,481
480,582.0,0.006444741,491
490,584.0,0.006547402,501
500,584.0,0.006640937,511
510,586.0,0.006745685,521
520,586.0,0.006976555,531
530,586.0,0.007140055,541
540,588.0,0.007232734,551
550,590.0,0.007309101,561
560,596.0,0.007406233,571
570,596.0,0.007497995,581
580,598.0,0.007603598,591
590,598.0,0.007820536,601
600,598.0,0.007975704,611
610,602.0,0.00810155,621
620,606.0,0.008256925,631
630,608.0,0.008361758,641
640,608.0,0.008436251,651
650,608.0,0.008517967,661
660,612.0,0.008592097,671
670,612.0,0.008669029,681
680,614.0,0.008749031,691
690,614.0,0.008820002,701
700,618.0,0.00888829,711
710,618.0,0.0089601,721
720,618.0,0.009047805,731
730,622.0,0.026265486,741
740,624.0,0.026302924,751
750,624.0,0.026323725,761
760,626.0,0.026347117,771
770,626.0,0.026368024,781
780,628.0,0.026388716,791
790,630.0,0.026441653,801
800,634.0,0.02646276,811
810,634.0,0.026486572,821
820,634.0,0.026507311,831
830,638.0,0.026530086,841
840,640.0,0.026577177,851
850,640.0,0.02660288,861
860,642.0,0.026626294,871
870,646.0,0.026648077,881
880,646.0,0.026670149,891
890,650.0,0.026711968,901
900,652.0,0.026832498,911
910,652.0,0.026974256,921
920,652.0,0.027112235,931
930,652.0,0.027197832,941
940,652.0,0.027229165,951
950,654.0,0.027266887,961
960,654.0,0.027296021,971
970,656.0,0.027317268,981
980,658.0,0.027338854,991
990,660.0,0.027365106,1001
1000,660.0,0.02740256,1011
1010,662.0,0.027461112,1021
1020,664.0,0.027520933,1031
1030,664.0,0.027567,1041
1040,668.0,0.02761039,1051
1050,670.0,0.027664825,1061
1060,670.0,0.027692383,1071
1070,670.0,0.027726552,1081
1080,670.0,0.027755698,1091
1090,672.0,0.027777202,1101
1100,676.0,0.027798865,1111
1110,676.0,0.027820231,1121
1120,678.0,0.027841409,1131
1130,682.0,0.027862271,1141
1140,684.0,0.027884175,1151
1150,686.0,0.02790552,1161
1160,686.0,0.027930891,1171
1170,686.0,0.027957233,1181
1180,686.0,0.027982532,1191
1190,686.0,0.028006069,1201
1200,688.0,0.028027114,1211
1210,692.0,0.028057866,1221
1220,692.0,0.02807922,1231
1230,694.0,0.028101182,1241
1240,694.0,0.028122186,1251
1250,696.0,0.028143611,1261
1260,696.0,0.028168202,1271
1270,698.0,0.028196368,1281
1280,698.0,0.028225746,1291
1290,698.0,0.028253387,1301
1300,698.0,0.0282753,1311
1310,700.0,0.028296991,1321
1320,700.0,0.028318719,1331
1330,700.0,0.02833977,1341
1340,702.0,0.028362766,1351
1350,704.0,0.028383356,1361
1360,704.0,0.028407002,1371
1370,704.0,0.028433291,1381
1380,704.0,0.028470919,1391
1390,704.0,0.028499812,1401
1400,704.0,0.028521637,1411
1410,706.0,0.028543155,1421
1420,710.0,0.028575395,1431
1430,710.0,0.028596336,1441
1440,712.0,0.028623075,1451
1450,714.0,0.028645584,1461
1460,714.0,0.028666152,1471
1470,716.0,0.028690181,1481
1480,716.0,0.028711368,1491
1490,716.0,0.028734596,1501
1500,716.0,0.028762759,1511
1510,716.0,0.028790489,1521
1520,716.0,0.028812723,1531
1530,716.0,0.028836876,1541
1540,716.0,0.028857933,1551
1550,716.0,0.028879806,1561
1560,716.0,0.028941543,1571
1570,716.0,0.028978418,1581
1580,716.0,0.029010599,1591
1590,716.0,0.029032957,1601
1600,716.0,0.02906426,1611
1610,718.0,0.029168777,1621
1620,720.0,0.02924585,1631
1630,720.0,0.029422453,1641
1640,720.0,0.029510908,1651
1650,720.0,0.029540653,1661
1660,720.0,0.029569248,1671
1670,722.0,0.029625537,1681
1680,722.0,0.029662283,1691
1690,722.0,0.029734879,1701
1700,722.0,0.029808356,1711
