iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.103530518561,0.101362159188,0.11066191059,0.658666666667,0.697530864198,0.623376623377,0.219512195122,0.289855072464,0.103092783505,0.017774177
10,0.115683510392,0.115490162362,0.116895678917,0.650666666667,0.654320987654,0.649350649351,0,0,0,0.149023954
20,0.116908762999,0.11774262891,0.114549121007,0.650666666667,0.648148148148,0.649350649351,0.015037593985,0,0,0.264042642
30,0.114299963065,0.117544156181,0.112278104058,0.650666666667,0.654320987654,0.649350649351,0,0,0,0.364311372
40,0.108861919572,0.113568258442,0.109125914195,0.658666666667,0.623456790123,0.670995670996,0.412844036697,0.344086021505,0.449275362319,0.470275272
50,0.108226889105,0.108372459277,0.108552300067,0.682666666667,0.679012345679,0.627705627706,0.251572327044,0.315789473684,0.122448979592,0.580604276
60,0.105045692606,0.10456215652,0.106540651662,0.690666666667,0.672839506173,0.662337662338,0.236842105263,0.208955223881,0.113636363636,0.688451111
70,0.108800697206,0.109873961594,0.10807269804,0.714666666667,0.685185185185,0.688311688312,0.381502890173,0.354430379747,0.28,0.789480561
80,0.112770472638,0.115025264653,0.111604273031,0.653333333333,0.623456790123,0.632034632035,0.467213114754,0.440366972477,0.437086092715,0.901893138
90,0.106353656067,0.106781423554,0.106780289576,0.664,0.654320987654,0.645021645022,0.13698630137,0.176470588235,0.0681818181818,1.012464729
100,0.0990333072481,0.0993025317142,0.101151376415,0.690666666667,0.722222222222,0.658008658009,0.236842105263,0.347826086957,0.131868131868,1.117659325
110,0.099700879818,0.0987602222445,0.103208766635,0.701333333333,0.703703703704,0.701298701299,0.325301204819,0.368421052632,0.330097087379,1.229651601
120,0.105199921054,0.106089838931,0.105810545115,0.648,0.654320987654,0.649350649351,0,0,0,1.344581449
130,0.0994916048904,0.0967777311633,0.0986306861329,0.68,0.722222222222,0.670995670996,0.220779220779,0.366197183099,0.208333333333,1.459261927
140,0.100336785538,0.0977212067659,0.103062391393,0.682666666667,0.691358024691,0.658008658009,0.201342281879,0.21875,0.0919540229885,1.571772362
150,0.0974226698247,0.0943869611832,0.0996718763664,0.674666666667,0.679012345679,0.658008658009,0.140845070423,0.161290322581,0.0481927710843,1.688613744
160,0.102681435658,0.0983364123098,0.104199833512,0.658666666667,0.66049382716,0.645021645022,0.044776119403,0.0350877192982,0,1.811040038
170,0.101520394023,0.0997510716901,0.101430202435,0.653333333333,0.654320987654,0.649350649351,0.0151515151515,0,0,1.927275298
180,0.0952613806238,0.0917359615014,0.0964622961452,0.693333333333,0.759259259259,0.709956709957,0.294478527607,0.518518518519,0.361904761905,2.045124669
190,0.10345743785,0.103103899928,0.104133444671,0.658666666667,0.666666666667,0.65367965368,0.0588235294118,0.0689655172414,0.0243902439024,2.1585684
200,0.107981763346,0.105452970334,0.108000991377,0.68,0.703703703704,0.666666666667,0.318181818182,0.428571428571,0.280373831776,2.275051966
210,0.102044142972,0.103420858544,0.103058491366,0.669333333333,0.685185185185,0.662337662338,0.114285714286,0.16393442623,0.0714285714286,2.393589986
220,0.100942154105,0.0984211755242,0.103375479873,0.685333333333,0.691358024691,0.662337662338,0.213333333333,0.21875,0.113636363636,2.507234087
230,0.102737388127,0.102035706684,0.104128394685,0.682666666667,0.679012345679,0.666666666667,0.179310344828,0.212121212121,0.134831460674,2.617526525
240,0.103763124742,0.104508789077,0.106193296915,0.656,0.66049382716,0.65367965368,0.0583941605839,0.0350877192982,0.0243902439024,2.725541605
250,0.101603795101,0.0996287163206,0.101024909772,0.656,0.666666666667,0.65367965368,0.0444444444444,0.0689655172414,0.0243902439024,2.82794287
260,0.100989963922,0.0996088083369,0.10182158516,0.658666666667,0.679012345679,0.649350649351,0.0588235294118,0.133333333333,0.0240963855422,2.932918785
270,0.095193669741,0.0935767195785,0.0979830515364,0.698666666667,0.716049382716,0.683982683983,0.261437908497,0.342857142857,0.247422680412,3.036781464
280,0.0983920995534,0.0973296708266,0.0990486897608,0.685333333333,0.740740740741,0.683982683983,0.233766233766,0.416666666667,0.247422680412,3.145783122
290,0.0951837469676,0.0932646018814,0.0976712313648,0.693333333333,0.740740740741,0.675324675325,0.285714285714,0.416666666667,0.242424242424,3.258002597
300,0.0934307599651,0.0910679737422,0.0972114970648,0.701333333333,0.740740740741,0.683982683983,0.291139240506,0.432432432432,0.247422680412,3.367097713
310,0.0914473995098,0.0898704926655,0.0948108796591,0.704,0.753086419753,0.688311688312,0.335329341317,0.487179487179,0.307692307692,3.475834431
320,0.100761391365,0.102656533799,0.102533521933,0.658666666667,0.666666666667,0.649350649351,0.0588235294118,0.0689655172414,0,3.587433175
330,0.0889673905937,0.0896082684875,0.0914275320858,0.754666666667,0.716049382716,0.731601731602,0.494505494505,0.452380952381,0.491803278689,3.70108205
340,0.0988970317005,0.0945504547958,0.101037335646,0.669333333333,0.691358024691,0.645021645022,0.114285714286,0.193548387097,0.0238095238095,3.815037962
350,0.0955301662186,0.0914893349554,0.097067248268,0.698666666667,0.70987654321,0.688311688312,0.270967741935,0.276923076923,0.265306122449,3.924690379
360,0.0889945567081,0.0841894266669,0.090538809446,0.733333333333,0.777777777778,0.722943722944,0.450549450549,0.560975609756,0.457627118644,4.034717997
370,0.0908885619616,0.0889651380325,0.0926399771553,0.738666666667,0.753086419753,0.722943722944,0.484210526316,0.583333333333,0.492063492063,4.148970666
380,0.0944983217839,0.0932486195989,0.0964890042552,0.701333333333,0.722222222222,0.69696969697,0.308641975309,0.4,0.351851851852,4.263944543
390,0.0985944045165,0.0962851159581,0.100788534725,0.669333333333,0.672839506173,0.649350649351,0.114285714286,0.101694915254,0.0470588235294,4.376975913
400,0.091799494913,0.087560574419,0.0937097736506,0.722666666667,0.753086419753,0.69696969697,0.402298850575,0.512195121951,0.385964912281,4.489678117
410,0.0963767066638,0.096000220491,0.0979483610772,0.693333333333,0.70987654321,0.679653679654,0.285714285714,0.356164383562,0.301886792453,4.602148462
420,0.0980204725517,0.100505508913,0.100521265963,0.693333333333,0.672839506173,0.675324675325,0.378378378378,0.329113924051,0.4,4.716948241
430,0.0912737506741,0.0933354247304,0.0942184268508,0.741333333333,0.740740740741,0.692640692641,0.51256281407,0.533333333333,0.449612403101,4.829850957
440,0.0960222015598,0.0977783641575,0.0964881110958,0.730666666667,0.734567901235,0.692640692641,0.502463054187,0.537634408602,0.458015267176,4.940894409
450,0.0922728873703,0.0899335556557,0.0955583113599,0.744,0.777777777778,0.709956709957,0.52,0.632653061224,0.517985611511,5.045912007
460,0.0965110407824,0.0968773777809,0.0981033901735,0.696,0.716049382716,0.688311688312,0.321428571429,0.394736842105,0.333333333333,5.15779259
470,0.0932576608248,0.0941284296953,0.0951243814115,0.72,0.722222222222,0.679653679654,0.432432432432,0.430379746835,0.372881355932,5.268284253
480,0.0953856988453,0.0944921883144,0.0955687580975,0.704,0.70987654321,0.69696969697,0.350877192982,0.38961038961,0.351851851852,5.378305635
490,0.0903635869996,0.0930432120229,0.0922142915474,0.736,0.734567901235,0.744588744589,0.56768558952,0.612612612613,0.604026845638,5.487815906
500,0.0937950754823,0.0966461957554,0.0929066613891,0.728,0.703703703704,0.722943722944,0.49504950495,0.52,0.515151515152,5.599086011
510,0.0894365883074,0.0887261235293,0.0923081163453,0.741333333333,0.728395061728,0.69696969697,0.507614213198,0.521739130435,0.426229508197,5.704078114
520,0.0881125312023,0.0910086751959,0.0929753281142,0.768,0.734567901235,0.722943722944,0.571428571429,0.556701030928,0.515151515152,5.808558452
530,0.0874411657226,0.0930803961879,0.0933224670164,0.757333333333,0.685185185185,0.722943722944,0.588235294118,0.504854368932,0.567567567568,5.917266551
540,0.0911563477801,0.092505926566,0.0941939230408,0.741333333333,0.728395061728,0.744588744589,0.580086580087,0.607142857143,0.609271523179,6.026073747
550,0.0946542839905,0.0950474601744,0.0938211340067,0.736,0.722222222222,0.722943722944,0.547945205479,0.579439252336,0.549295774648,6.136483707
560,0.0855311713485,0.0906538032658,0.0950642554463,0.746666666667,0.722222222222,0.714285714286,0.592274678112,0.608695652174,0.56,6.246947318
570,0.087931504369,0.0911860909617,0.0919774757859,0.736,0.716049382716,0.722943722944,0.595918367347,0.616666666667,0.609756097561,6.356870945
